,,04,05,06,07,08,09,10,11,12,01_18,02_18,03_18,04_18,05_18,06_18,07_18
0,user_04_17,,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0
1,user_05_17,,,4,2,4,2,7,3,1,5,3,7,4,7,1,1
2,user_06_17,,,,7,9,4,6,6,4,10,1,4,5,8,6,2
3,user_07_17,,,,,42,22,43,167,280,260,418,557,852,1198,664,261
4,user_08_17,,,,,,35,47,95,151,150,214,291,435,611,348,131
5,user_09_17,,,,,,,29,21,9,26,13,17,17,21,26,5
6,user_10_17,,,,,,,,166,254,245,381,478,721,1010,570,216
7,user_11_17,,,,,,,,,1152,1051,1748,2302,3532,4935,2734,1083
8,user_12_17,,,,,,,,,,1900,3138,4116,6320,8867,4905,1941
9,user_01_18,,,,,,,,,,,2876,3772,5776,8079,4473,1769
10,user_02_18,,,,,,,,,,,,6325,9699,13568,7490,2976
11,user_03_18,,,,,,,,,,,,,12820,17916,9906,3933
12,user_04_18,,,,,,,,,,,,,,0,0,0
13,user_05_18,,,,,,,,,,,,,,,1,1
14,user_06_18,,,,,,,,,,,,,,,,2
15,user_07_18,,,,,,,,,,,,,,,,
16,user_08_18,,,,,,,,,,,,,,,,
